,CoinName,Algorithm,IsTrading,ProofType,TotalCoinsMined,TotalCoinSupply
EXE,ExeCoin,Scrypt,True,PoW,,21000000 
EZC,EZCoin,Scrypt,True,PoW,,84000000
FLAP,Flappy Coin,Scrypt,True,PoW,0,100000000000
FC2,Fuel2Coin,X11,True,PoS,0,100000000
FFC,FireflyCoin,SHA-256,True,PoW,,700000000000
FIBRE,FIBRE,NIST5,True,PoW/PoS,0,624000
FRC,FireRoosterCoin,SHA-256,True,PoW,0,2602410
FLT,FlutterCoin,Scrypt,True,PoS/PoW/PoT,461829905.32893,0
FRK,Franko,Scrypt,True,PoW,1142732.14912776,11235813
FRAC,FractalCoin,X11,True,PoW,,1000000
FSTC,FastCoin,Scrypt,False,PoW,,165888000
FTC,FeatherCoin,NeoScrypt,True,PoW,208669093.00773,336000000
GDC,GrandCoin,Scrypt,True,PoW,884125802,1420609614
GLC,GlobalCoin,Scrypt,True,PoW,65672720.4708748,70000000
GLD,GoldCoin,Scrypt,True,PoW,41658647.9999715,72245700
GLX,GalaxyCoin,Scrypt,True,PoW/PoS,,538214400
GLYPH,GlyphCoin,X11,True,PoW/PoS,0,7000000
GML,GameLeagueCoin,Scrypt,True,PoW/PoS,,500000000
GUE,GuerillaCoin,X11,True,PoW/PoS,,19500000
HAL,Halcyon,X15,True,PoW/PoS,0,0
HBN,HoboNickels,Scrypt,True,PoW/PoS,89266933.684704,120000000
HUC,HunterCoin,Multiple,True,PoW,0,42000000
HVC,HeavyCoin,Multiple,True,PoW,,128000000
HYP,HyperStake,X11,True,PoS,1678520090.7713,0
ICB,IceBergCoin,NIST5,True,PoW/PoS,,8750000
IFC,Infinite Coin,Scrypt,True,PoW,90595753018.6314,90600000000
IOC,IOCoin,X11,True,PoW/PoS,17650913.9743456,22000000
IXC,IXcoin,SHA-256,True,PoW,21089348.999,21000000
JBS,JumBucks Coin,X11,True,PoW/PoS,0,3293010
JKC,JunkCoin,Scrypt,True,PoW,,107000000
JUDGE,JudgeCoin,X13,True,PoW/PoS,0,21600000
KDC,Klondike Coin,Scrypt,True,PoW,,20000000
KEYC,KeyCoin,X13,False,PoW/PoS,,1000000
KGC,KrugerCoin,Scrypt,True,PoW,151447649.8,265420800
LK7,Lucky7Coin,Scrypt,True,PoW/PoS,,99792000
LKY,LuckyCoin,Scrypt,True,PoW,19326319.14375,20000000
LSD,LightSpeedCoin,NIST5,True,PoW/PoS,,900000
LTB,Litebar ,Scrypt,True,PoW,1104344.22938102,1350000
LTCD,LitecoinDark,Scrypt,True,PoW,0,82003200
LTCX,LitecoinX,X11,True,PoW,,84000000
LXC,LibrexCoin,X11,True,PoW/PoS,0,1000000
LYC,LycanCoin,Scrypt,True,PoW,,4950000000
MAX,MaxCoin,SHA3,True,PoW/PoS,61445805,100000000
MEC,MegaCoin,Scrypt,True,PoW,38151999.9930997,42000000
MED,MediterraneanCoin,HybridScryptHash256,True,PoW,40431856.9,200000000
MINRL,Minerals Coin,X11,False,PoW/PoS,,1000000
MINT,MintCoin,Scrypt,True,PoS,21293925445.4969,0
MN,Cryptsy Mining Contract,SHA-256,True,PoW,,0
MINC,MinCoin,Scrypt,True,PoW,5804204.88794916,10000000
MRY,MurrayCoin,Scrypt,True,PoW,,58000000
MZC,MazaCoin,SHA-256,True,PoW/PoS,1613836099.99999,2419200000
NAN,NanoToken,Scrypt,True,PoW,,80000000
NAUT,Nautilus Coin,Scrypt,True,PoS,16180000,16180000
NAV,NavCoin,X13,True,PoW/PoS,66087096.2077108,0
NBL,Nybble,Scrypt,True,PoW,,210000000
NMB,Nimbus Coin,X15,True,PoW/PoS,,25000000
NRB,NoirBits,SHA-256,True,PoW,0,50000000
NOBL,NobleCoin,Scrypt,True,PoW,2366066305.76482,15000000000
NRS,NoirShares,Scrypt,True,PoW/PoS,,5000000
NMC,Namecoin,SHA-256,True,PoW,14736400,21000000
NYAN,NyanCoin,Scrypt,True,PoW,334709223.483138,337000000
OPAL,OpalCoin,X13,True,PoW/PoS,15156364.3306548,0
ORB,Orbitcoin,NeoScrypt,True,PoW/PoS,3220616.279225,3770000
PHS,PhilosophersStone,Scrypt,True,PoW,,8891840
POT,PotCoin,Scrypt,True,PoW/PoS,222677226.014206,420000000
PSEUD,PseudoCash,X13,True,PoW/PoS,,2200000
PXC,PhoenixCoin,Scrypt,True,PoW/PoS,73959274.625,98000000
PYC,PayCoin,Scrypt,True,PoW/PoS,,30000000
RDD,Reddcoin,Scrypt,True,PoW/PoS,29315567169.0888,0
RIPO,RipOffCoin,Scrypt,True,PoW,0,12000000
RPC,RonPaulCoin,Scrypt,True,PoW,1104157.42169891,21000000
RT2,RotoCoin,Scrypt-n,True,PoW/PoS,,288000
RYC,RoyalCoin,Scrypt,True,PoW,,140000000
RZR,RazorCoin,Scrypt,True,PoW,,4000000
SAT2,Saturn2Coin,Scrypt,True,PoW,,15000000000
SBC,StableCoin,Scrypt,True,PoW,24215181.725,250000000
SFR,SaffronCoin,Multiple,True,PoW,,111000000
SHADE,ShadeCoin,Scrypt,True,PoW/PoS,,2000000
SHLD,ShieldCoin,X15,True,PoW/PoS,0,1000000
SILK,SilkCoin,Scrypt,True,PoW/PoS,0,1000000
SLG,SterlingCoin,X13,True,PoS,,0
SMC,SmartCoin,Scrypt,True,PoW,25593737.1355044,51200000
SOLE,SoleCoin,X15,True,PoW/PoS,,1200000
SPA,SpainCoin,Scrypt-n,True,PoW,0,50000000
SPOTS,Spots,Scrypt,True,PoW,,100000000
SRC,SecureCoin,Scrypt,True,PoW,0,21000000
SSV,SSVCoin,X13,True,PoW,,21000000
SUPER,SuperCoin,X11,True,PoS,50707661.7493518,0
SYNC,SyncCoin,X11,True,PoW/PoS,1177,1000
SYS,SysCoin,SHA-256,True,PoW,563336541.299966,888000000
TAG,TagCoin,Scrypt,True,PoW/PoS,,1000000
TAK,TakCoin,SHA-256,True,PoW/PoS,,7515187520
TES,TeslaCoin,Multiple,True,PoS,80260463.7331396,100000000
TGC,TigerCoin,SHA-256,True,PoW,43536800,47011968
TIT,TittieCoin,PHI1612,True,PoS,1622326490.46336,2300000000
TOR,TorCoin,X11,True,PoW/PoS,1431851.00002479,10000000
TRC,TerraCoin,SHA-256,True,PoW,22935396,42000000
TITC,TitCoin,Scrypt,True,PoW,,1000000
ULTC,Umbrella,SHA-256,True,PoW,0,2625000
UNB,UnbreakableCoin,SHA-256,True,PoW,2278150,80000000
UNO,Unobtanium,SHA-256,True,PoW,200911.79151896,250000
URO,UroCoin,X11,True,PoW,1207310,0
USDE,UnitaryStatus Dollar,Scrypt,True,PoW/PoS,1098952592.6,1600000000
UTC,UltraCoin,Scrypt,True,PoW/PoS,50235211.141939,100000000
UTIL,Utility Coin,X13,True,PoW/PoS,0,0
VDO,VidioCoin,X11,True,PoW/PoS,,0
VIA,ViaCoin,Scrypt,True,PoW,23150892.1679687,23000000
VOOT,VootCoin,X11,True,PoW,0,0
VRC,VeriCoin,Scrypt,True,PoST,32021108.4136696,0
VTC,Vertcoin,Lyra2REv2,True,PoW,51173723.8166347,84000000
WDC,WorldCoin,Scrypt,True,PoW,119606941,265420800
XAI,SapienceCoin,X11,True,PoB/PoS,,0
XBOT,SocialXbotCoin,Scrypt,True,PoW/PoS,0,2000000
XC,X11 Coin,X11,True,PoW/PoS,6950831.0970606,5500000
XCSH,Xcash,Scrypt,False,PoW/PoS,,2400000
XCR,Crypti,Multiple,True,PoS,100000000,0
XJO,JouleCoin,SHA-256,True,PoW,39195739.362088,45000000
XLB,LibertyCoin,X11,True,PoW/PoS,,16500000
XST,StealthCoin,X13,True,PoW/PoS,33093725.4123502,0
XXX,XXXCoin,Scrypt,True,PoW/PoS,0,50000000
YAC,YAcCoin,Scrypt,True,PoW,,2000000000
ZCC,ZCC Coin,Scrypt,True,PoW/PoS,147990237.978331,1000000000
ZED,ZedCoins,Scrypt,True,PoW,,120000000
BCN,ByteCoin,CryptoNight,True,PoW,184066828814,184467440735
EKN,Elektron,X13,True,PoW/PoS,,3000000
XDN,DigitalNote ,CryptoNight,True,PoW,6906587610.38292,10000000000
XAU,XauCoin,SHA-256,True,PoW,,2100000
BURST,BurstCoin,Shabal256,True,PoC,1813033920,2158812800
SJCX,StorjCoin,Counterparty,True,PoS,51173144,500000000
HUGE,BigCoin,Blake,True,PoW,,164429865
007,007 coin,Scrypt,True,PoW,,989800
MONA,MonaCoin,Scrypt,True,PoW,68194674.8711679,105120000
TEK,TekCoin,SHA-256,True,PoW/PoS,,100000000
NTRN,Neutron,SHA-256,True,PoW/PoS,39121694,68000000
SLING,Sling Coin,SHA-256,True,PoW,0,1000000
XSI,Stability Shares,Scrypt,True,PoW/PoS,,15000000
KTK,KryptCoin,Scrypt,True,PoS,0,17000000
FAIR,FairCoin,Groestl,True,PoW/PoS,53193831,0
NLG,Gulden,Scrypt,True,PoW,415032420,1680000000
RBY,RubyCoin,Scrypt,True,PoS,27184490.3918338,0
PTC,PesetaCoin,Scrypt,True,PoW,137517654.41397,166386000
KORE,Kore,X13,True,PoW/PoS,2022464.886973,12000000
WBB,Wild Beast Coin,Scrypt,True,PoW,181919.2435974,2628000
SSD,Sonic Screw Driver Coin,SHA-256,True,PoW/PoS,,0
NOTE,Dnotes,Scrypt,True,PoS,174646113.934655,500000000
FLO,Flo,Scrypt,True,PoW,152270664.860648,160000000
MMXIV,MaieutiCoin,SHA-256,True,PoS,0,2014
8BIT,8BIT Coin,Scrypt,True,PoW/PoS,1467841,0
STV,Sativa Coin,X13,True,PoW/PoS,7096834,10000000
AM,AeroMe,X13,True,PoW/PoS,0,12000000
NKT,NakomotoDark,X11,True,PoW/PoS,,0
GHC,GhostCoin,Scrypt,True,PoW/PoS,,750000000
ABY,ArtByte,Scrypt,True,PoW,792537250,1000000000
MTR,MasterTraderCoin,X11,True,PoW/PoS,0,10110000
BCR,BitCredit,Momentum,True,PoW,0,210000000
XPB,Pebble Coin,CryptoNight,True,PoW,,0
XDQ,Dirac Coin,Blake,True,PoW,,2272800
FLDC,Folding Coin,Stanford Folding,True,PoW,719416990,1000000000
SMAC,Social Media Coin,X11,True,PoW/PoS,,0
U,Ucoin,X11,True,PoS,2689812,20000000
UIS,Unitus,Multiple,True,PoW,65113302,0
CYP,CypherPunkCoin,QuBit,True,PoW,6365285,0
QBK,QuBuck Coin,X13,True,PoS/PoB,,0
MARYJ,MaryJane Coin,X15,True,PoW/PoS,0,0
OMC,OmniCron,Scrypt,True,PoW,10140044.4430293,3371337
GIG,GigCoin,X11,True,PoW,,0
CC,CyberCoin,Scrypt,True,PoW/PoS,0,0
VTR,Vtorrent,Scrypt,True,PoW/PoS,11604722,20000000
METAL,MetalCoin,Scrypt,True,PoW,,0
GRE,GreenCoin,Scrypt,True,PoW,4610340640.89,10000000000
XG,XG Sports,XG Hash,True,PoW/PoS,,0
CHILD,ChildCoin,X11,True,PoW,,2000000
MINE,Instamine Nuggets,Scrypt,True,PoW,,21649485
ROS,ROS Coin,X11,True,PoW/PoS,,0
UNAT,Unattanium,SHA-256,True,PoW,0,0
GAIA,GAIA Platform,X11,True,PoS,,24000000
XCN,Cryptonite,M7 POW,True,PoW,708506520,1840000000
GMC,Gridmaster,Scrypt,True,PoW,0,84000000
MMC,MemoryCoin,Multiple,True,PoW,,10000000
CYC,ConSpiracy Coin ,X11,True,PoW,0,33000000
MSC,MasterCoin,Scrypt,True,PoW,619478,619478
EGG,EggCoin,Scrypt,True,PoW/PoS,,3891
CAMC,Camcoin,X11,False,PoW/PoS,,10000000
RBR,Ribbit Rewards,Multiple,True,PoW,,1000000000
ICASH,ICASH,X11,True,PoW,,1000000
NODE,Node,Curve25519,True,PoA,,1000000000
SOON,SoonCoin,SHA-256,True,PoW,12462620,21000000
BTMI,BitMiles,Scrypt,True,PoW,,4832660000
EVENT,Event Token,Scrypt,True,PoW/PoS,,0
1CR,1Credit,Scrypt,True,PoW,88213,92000000000
VIOR,ViorCoin,Scrypt,True,PoW/PoS,0,0
VMC,VirtualMining Coin,Scrypt-n,True,PoW,,1000000
MARSC,MarsCoin,X11,False,PoW,,33000000
EQM,Equilibrium Coin,SHA-256,True,PoW/PoS,,0
ISL,IslaCoin,X11,True,PoW/PoS,1513704,0
QSLV,Quicksilver coin,X11,True,PoW,0,33000000
XNA,DeOxyRibose,X11,True,PoS,,0
SKB,SkullBuzz,SHA-256,True,PoS,,0
FCS,CryptoFocus,X11,True,PoW/PoS,,0
NXS,Nexus,SHA3,True,PoW/nPoS,63657220,78000000
EAGS,EagsCoin,X11,True,PoW/PoS,,20445500
MWC,MultiWallet Coin,X11,True,PoW/PoS,,0
MARS,MarsCoin ,X11,True,PoW,32221574.820996,33000000
XMS,Megastake,X11,True,PoW/PoS,,0
SIGU,Singular,Scrypt,True,PoW/PoS,0,0
M1,SupplyShock,X13,True,PoW/PoS,,0
DB,DarkBit,Scrypt,True,PoW/PoS,,0
CTO,Crypto,Lyra2RE,True,PoW,13742738,65789100
BITL,BitLux,X11,False,PoW/PoS,,0
FUTC,FutCoin,X13,True,PoW/PoS,,0
TAM,TamaGucci,Scrypt,True,PoW/PoS/PoC,,5300000
MRP,MorpheusCoin,X11,True,PoW,,3400000
XFC,Forever Coin,X11,True,PoS,,210000000
NANAS,BananaBits,Scrypt,True,PoW/PoS,,0
ACP,Anarchists Prime,SHA-256,True,PoW,14747200.0002,53760000
DRZ,Droidz,QUAIT,True,PoW/PoS,8568038.35935056,5060000
BSC,BowsCoin,X11,True,PoW,15863837.5,21000000
DRKT,DarkTron,SHA-256,True,PoW/PoS,,1500000
CIRC,CryptoCircuits,vDPOS,True,PoS,0,0
EPY,Empyrean,Scrypt,True,PoW,,100000
SQL,Squall Coin,X11,True,PoS/PoW,329200.01639,0
CHA,Charity Coin,Scrypt,True,PoW,,500000
MIL,Milllionaire Coin,X11,True,PoW/PoS,0,0
QTZ,Quartz,SHA-256,True,PoW/PoS,,0
SPC,SpinCoin,NIST5,True,PoW/PoS,,0
DUB,DubCoin,X15,True,PoW/PoS,,0
GRAV,Graviton,SHA-256,True,PoW/PoS,,0
HEDGE,Hedgecoin,X13,True,PoW,,33000000
SONG,Song Coin,Scrypt,True,PoW,32565300,210240000
XSEED,BitSeeds,SHA-256,True,PoW/PoS,,0
CHIP,Chip,X11,True,PoW,,0
SPEC,SpecCoin,Scrypt,True,PoW,,3000000000
SPRTS,Sprouts,SHA-256,True,PoW/PoS,,0
ZNY,BitZeny,Scrypt,True,PoW,75614500,250000000
DIGS,Diggits,Scrypt,True,PoS,100000000,100000000
EXP,Expanse,Ethash,True,PoW,10495278,16906397
MAPC,MapCoin,X11,True,PoS,0,2228921.184
CON,Paycon,X13,True,PoW/PoS,23042604,50000000
SC,Siacoin,Blake2b,True,PoW,33098296530,0
LYB,LyraBar,Lyra2RE,True,PoW/PoS,,0
EMC,Emercoin,SHA-256,True,PoW/PoS,43059794.804778,1000000000
BLITZ,BlitzCoin,X13,True,PoS,0,3852156
BHIRE,BitHIRE,Scrypt,False,PoS,,42000000
EGC,EverGreenCoin,X15,True,PoW/PoS,13530556.4180753,26298000
MND,MindCoin,X11,True,PoW,15867695,16000000
I0C,I0coin,SHA-256,True,PoW,20997476.8650231,21000000
DCR,Decred,BLAKE256,True,PoW/PoS,10365046.9281661,21000000
DOGED,DogeCoinDark,Scrypt,True,PoW,0,16500000000
RVR,Revolution VR,Scrypt,True,PoW,210000000,210000000
HODL,HOdlcoin,1GB AES Pattern Search,True,PoW,11448949,81962100
EDRC,EDRCoin,SHA-256,True,PoW/PoS,3669691.84494672,22000000
HTC,Hitcoin,X11,True,PoW/PoS,10996318099,26550000000
GAME,Gamecredits,Scrypt,True,PoW,69836100,84000000
DSH,Dashcoin,CryptoNight,True,PoW,0,18446744
DBIC,DubaiCoin,SHA-256,True,PoW/PoS,5129014,10500000
BIOS,BiosCrypto,Quark,True,PoW/PoS,0,20190463.54969237
DIEM,CarpeDiemCoin,SHA-256,True,PoW,21739971929,21626280000 
RCX,RedCrowCoin,Scrypt,True,PoW/PoS,,3966666667
PWR,PWR Coin,NIST5,True,PoW/PoS,10069449031.9252,0
TRUMP,TrumpCoin,Blake,True,PoS,0,12000000
BLRY,BillaryCoin,Scrypt,True,PoW/PoS,8998743.2411911,42000000
ETHS,EthereumScrypt,Scrypt,True,PoW/PoS,0,4200000
PXL,Phalanx,SHA-256,True,PoW,0,15000000
SOUL,SoulCoin,Scrypt,True,PoW/PoS,,1400000000
SSTC,SunShotCoin,X11,True,PoW,0,2250000000
GPU,GPU Coin,Scrypt,True,PoS,40477042,221052632
TAGR,Think And Get Rich Coin,X15,True,PoW/PoS,,30700000
HMP,HempCoin,Scrypt-n,True,PoW,0,5000000000
ADZ,Adzcoin,X11,True,PoW,45110324,84000000
MYC,MayaCoin,Scrypt,True,PoW/PoS,,250000000
VTA,VirtaCoin,Scrypt,True,PoW,0,21000000000
SOIL,SoilCoin,Dagger,True,PoW,5702048,30000000
YOC,YoCoin,Scrypt,True,PoW,636462.55983338,168351300
UNIT,Universal Currency,SHA-256,True,PoW/PoS,0,210000000
AEON,AEON,CryptoNight-Lite,True,PoW,0,18400000
SIB,SibCoin,X11GOST,True,PoW,17263355,24000000
ERC,EuropeCoin,X11,True,PoW/PoS,10407269.7881868,384000000
AIB,AdvancedInternetBlock,Scrypt,True,PoW,,314159265359
XDB,DragonSphere,X11,True,PoW/PoS,,21007600
ANTI,Anti Bitcoin,SHA-256,True,PoW,0,42000000
COLX,ColossusCoinXT,X11,True,PoS,,21000000000
MNM,Mineum,X13,True,PoW/PoS,,10000000
ZEIT,ZeitCoin,Scrypt,True,PoS,36971236046.8073, 99000000000
CGA,Cryptographic Anomaly,Scrypt,True,PoW,,10000000000
SWING,SwingCoin,SHA-256,True,PoW/PoS,4377081.60953993,40000000
SAFEX,SafeExchangeCoin,Scrypt,True,PoC,2147483647,2147483647
NEBU,Nebuchadnezzar,PoS,True,PoS,20000000,20000000
AEC,AcesCoin,X11,True,PoS,,98000000
FRN,Francs,Scrypt,True,PoW,6570807.65677618,20000000
ADNT,Aiden,ScryptOG,False,PoW,84000000,84000000
N7,Number7,Scrypt,True,PoW,,270967742
CYG,Cygnus,X11,True,PoW/PoS,,25885320
LGBTQ,LGBTQoin,X11,True,PoW,,50000000
UTH,Uther,Dagger,True,PoW,,25885320
MPRO,MediumProject,PoS,True,PoW,,250000
KATZ,KATZcoin,SHA-256D,True,PoW/PoS,,100000000
SPM,Supreme,Scrypt,True,PoW/PoS,,88900000
FLX,Flash,Scrypt,True,PoW/PoS,,1000000
BOLI,BolivarCoin,X11,True,PoW,13654082.4987998,25000000
CLUD,CludCoin,Scrypt,True,PoW,,100200000
HVCO,High Voltage Coin,SHA-256,True,PoW/PoS,,1700000
GIZ,GIZMOcoin,X11,True,PoW/PoS,0,100000
FUZZ,Fuzzballs,Scrypt,True,PoW,,21000000
SCRT,SecretCoin,X11,True,PoW/PoS,0,21000000
XRA,Ratecoin,X11,True,PoW/PoS,134554941.15119,75000000
XNX,XanaxCoin,Scrypt,True,PoW,,42000000
DBG,Digital Bullion Gold,PoS,True,PoS,0,15000000
WMC,WMCoin,X11,True,PoS,,1000000000
GOTX,GothicCoin,Scrypt,True,PoW,,313333333
SHREK,ShrekCoin,Scrypt,True,PoW/PoS,,1246000000
REV,Revenu,SHA-256,True,PoW/PoS,1195525,222725000
PBC,PabyosiCoin,X11,True,PoW/PoS,,31500000000
OBS,Obscurebay,X11,True,PoW/PoS,,6562000
EXIT,ExitCoin,Scrypt,True,PoW/PoS,,756000000
EDUC,EducoinV,Scrypt,True,PoW/PoS,,99000000
CLINT,Clinton,SHA-256,True,PoW,0,2421227
CKC,Clockcoin,SHA-256,True,PoW/PoS,16662820,525000000
VIP,VIP Tokens,NIST5,True,PoW/PoS,83450403,90000000
NXE,NXEcoin,NIST5,True,PoW/PoS,,2200000
ZOOM,ZoomCoin,Lyra2RE,True,PoW,,250000
YOVI,YobitVirtualCoin,SHA-256,True,PoS,,22830000
ORLY,OrlyCoin,X15,True,PoW/PoS,0,36000000
KUBOS,KubosCoin,Scrypt,False,PoW/PoS,,986898568551
SAK,SharkCoin,SHA-256,True,PoW,,400000000
EVIL,EvilCoin,X11,True,PoW/PoS,,21024000
COX,CobraCoin,Scrypt,True,PoW/PoS,,1012941176
BSD,BitSend,X11,True,PoW/PoS,24387724.5010828,139000000
DES,Destiny,Scrypt,True,PoW/PoS,,212625
BIT16,16BitCoin,NIST5,True,PoW/PoS,0,16000000
CMTC,CometCoin,Scrypt,True,PoW,,2000000
CHESS,ChessCoin,Scrypt,True,PoW/PoS,0,74666667
REE,ReeCoin,Scrypt,True,PoW/PoS,0,350000000
MARV,Marvelous,Scrypt,True,PoW,,400000000
OMNI,Omni,Scrypt,True,PoW,616448,616448
TRTK,TrollTokens,SHA-256,False,PoW/PoS,,860000000
LIR,Let it Ride,POS 3.0,True,PoS,38589808.6658096,33500000
SCRPT,ScryptCoin,Scrypt,True,PoW,,34181818
SPCIE,Specie,PoS,True,PoS,,9000000
CJ,CryptoJacks,X13,True,PoW/PoS,,500000000
PUT,PutinCoin,Scrypt,True,PoW/PoS,813092338.575672,2000000000
KRAK,Kraken,SHA-256,True,PoW/PoS,,20 000 000
IBANK,iBankCoin,Scrypt,True,PoW/PoS,4526324,44333333
WRLGC,World Gold Coin,SHA-256,False,PoW,,51000000
BM,BitMoon,X13,True,PoS,,100000000
FRWC,Frankywillcoin,Scrypt,True,PoW/PoS,100000000,100000000
PSY,Psilocybin,SHA-256D,True,PoW/PoS,,4214600
RUST,RustCoin,Scrypt,True,PoW/PoS,,21212121
NZC,NewZealandCoin,Scrypt,True,PoW,,335800000
XPOKE,PokeChain,X13,True,PoS,,75000000
MUDRA,MudraCoin,X13,True,PoS,5000000,200000000
PIZZA,PizzaCoin,X11,True,PoW,1377917,25000000
LC,Lutetium Coin,X11,True,PoS,657000000,657000000
EXB,ExaByte (EXB),SHA-256,True,PoW,,500000000
KMD,Komodo,Equihash,True,dPoW/PoW,115898131,200000000
GB,GoldBlocks,X11,True,PoW/PoS,15563873,50000000
EDC,EDC Blockchain,SHA-256,True,DPoS/LPoS,,5352058721.530
WAY,WayCoin,X11,True,PoS,0,100000000
TAB,MollyCoin,Scrypt,True,PoW/PoS,,25000000
